Artist Name,Thumbnail,Painting,Size,Medium,Price,Website,Instagram
Jenny Ibrahim,,Cornish Coast III,30 x 40 cm,Oil,£95,,
Jenny Ibrahim,,Cornish Coast II,30 x 40 cm,Oil,£95,,
Joe Tymkow,,"Botanic Gardens, Bath",24 x 30 cm,Oil on Board,£95,,joetymkow
Jon Baker,,"After the Rain, East Street",45 x 45 cm,Oil on Board,£500,jonbakerart.co.uk,jonbakerartuk
Joss Lopez,,Brandon Hill,35 x 24 cm,Gouache on Paper,£120,josslopez.art,josslopez_art
Joss Lopez,,River Avon,20 x 20 cm,Gouache on Board,£120,josslopez.art,josslopez_art
Joss Lopez,,Zennor Headland,20 x 20 cm,Gouache on Board,£120,josslopez.art,josslopez_art
Kim Reed,,Garden Love and Inspiration,80 x 60 cm,Acrylic on Canvas,£280,,kreedartist
Kim Reed,,Hummingbird Summer Meadow,48 x 60 cm,"Acrylic Paint, Ink and Paint Pen on Canvas",£190,,kreedartist
Laurence Kell,,Victoria Park,23 x 30 cm,Oil on Canvas,£345,laurencekell.co.uk,laurence.kell
Lois Pearson,,Forget-me-nots,21 x 30 cm,Oil on Paper,£300,loispearson.com,_lois_pearson
Lois Pearson,,Fleeting,12.5 x 18 cm,Oil on Paper,£200,loispearson.com,_lois_pearson
Matt Spence,,Heading Out,60 x 60 cm,Acrylic and Ink on Board,£745,,mattsartist
Matt Spence,,Black Dog Beach,100 x 100 cm,Mixed Media on Canvas,£975,,mattsartist
Mike Matthews,,Avon Gorge,45 x 15 cm,Oil on Board,Not for Sale,,drawings_etc_mm
Mike Matthews,,Windmill Hill City Farm,50 x 17 cm,Mixed Media on Wood,£50,,drawings_etc_mm
Neil Watson,,Bristol Harbour,45 x 30 cm,Oil on Canvas Board,£125,neilwatsonart.com,neilwatsonart
Neil Watson,,Ashton Court,30 x 45 cm,Oil on Canvas Board,£125,neilwatsonart.com,neilwatsonart
Neil Watson,,Flapped Outflow,50 x 76 cm,Oil on Canvas,£395,neilwatsonart.com,neilwatsonart
Nick Holly,,Presented by Curbside Gallery: Clifton Suspension Bridge,34 x 85 cm,Acrylic on Canvas,Price on Application via info@curbsideethos.com,,curbsideethos
Nick Holly,,Presented by Curbside Gallery: Royal York Crescent,100 x 100 cm,Acrylic on Canvas,Price on Application via info@curbsideethos.com,,curbsideethos
Ni Smith,,Brandon Hill Goldcrest,40 x 50 cm,Oil on Canvas,£95,,stopmostudios
Oliver Parker,,Sunrise Vacui,100 x 100 cm,Oil and Mixed Media on Canvas,"£2,000",,
Paul Driver,,Bedminster Roundabout,30 x 38 cm,Oil on Board,£250,,screwy.art
Paul Driver,,Smeaton Road,32 x 28 cm,Oil on Board,£250,,screwy.art
Paul Driver,,Prince St Bridge,22 x 28 cm,Oil on Board,£180,,screwy.art
Rebecca Down,,May,12.5 x 17.5 cm,Fine Liner and Watercolour on Paper,Not for sale,,rbeccca.art
Rob Elgar,,Oldbury Court I,20 x 20 cm,Oil on Board,£175,robelgar.art,rob.elgar
Rob Elgar,,Under the Bridge,30 x 30 cm,Oil on Canvas Board,£250,robelgar.art,rob.elgar
Rob Elgar,,Toward the Frome Valley Walkway - Frenchay,21 x 15 cm,Oil on Canvas Board,£150,robelgar.art,rob.elgar
Simon Thomas,,Walk in Provence,23 x 30 cm,Pastels on Paper,Not for Sale,,simonlthomas
Tamsin Johns,,Barricane,28 x 35 cm,Acrylic on Woodden Panel,£245,,dartmoorandcoast
Tamsin Johns,,Fingle Bridge,30 x 23 cm,Acrylic on Woodden Panel,£245,,dartmoorandcoast
Tanya Voronina,,Paradise was Real,40 x 40 cm,Acrylic on Canvas,£200,etsy.com/shop/FishbirdArt,tanya_voronina_art
Tanya Voronina,,Golden Afternoon,40 x 40 cm,Acrylic on Canvas,£200,etsy.com/shop/FishbirdArt,tanya_voronina_art
Tom Hughes,,"St Mary Redcliffe, October",25 x 20 cm,Oil on Board,£800,tomhughespainting.co.uk,tomhughespainting
Vaswar Mitra,,"Railway Bridge, St. Philip's Marsh",14.8 x 21 cm,Watercolour and Graphite on Paper,£50 (Prints available for £20 via vaswarm@gmail.com),,vaswardrawingandprocess
Vaswar Mitra,,St. Mary Redcliff Spire,14.8 x 21 cm,Watercolour on Paper,£50 (Prints available for £20 via vaswarm@gmail.com),,vaswardrawingandprocess
Will Sabido,,"Sunset Spot, Victoria Park",35 x 46 cm,Oil on Canvas,£360,sabido.art,willsabido
Will Sabido,,Perrett's Park,61 x 76 cm,Oil on Canvas,£1100,sabido.art,willsabido
Will Sabido,,St. Phillips Greenway looking towards Temple Meads,76 x 61 cm,Oil on Canvas,£1100,sabido.art,willsabido
